time,x,y,z
32734,-0.2353596,-10.022396,-0.049033247
32756,-0.2353596,-10.140076,-0.02941995
32775,-0.2157463,-10.081236,0.0196133
32794,-0.20593965,-10.100849,0.049033247
32817,-0.28439283,-10.100849,0.0196133
32835,-0.22555295,-9.973363,-0.00980665
32857,-0.20593965,-10.032203,-0.00980665
32879,-0.2157463,-10.110656,0.0
32896,-0.19613299,-10.051816,0.0
32915,-0.20593965,-9.934136,-0.06864655
32937,-0.24516624,-10.022396,0.0
32956,-0.2353596,-9.95375,0.00980665
32977,-0.17651969,-9.943943,-0.0588399
32996,-0.22555295,-9.992976,0.02941995
33016,-0.2549729,-10.042009,0.0
33036,-0.24516624,-10.051816,0.02941995
33056,-0.20593965,-10.081236,-0.0196133
33080,-0.18632634,-10.002783,-0.02941995
33098,-0.2157463,-10.130269,-0.0392266
33116,-0.19613299,-10.032203,0.00980665
33139,-0.18632634,-9.934136,-0.02941995
33161,-0.20593965,-10.002783,-0.00980665
33177,-0.28439283,-9.875297,0.0
33197,-0.22555295,-9.95375,-0.0196133
33217,-0.24516624,-10.051816,-0.00980665
33238,-0.2157463,-10.002783,-0.00980665
33261,-0.20593965,-9.95375,-0.0588399
33278,-0.19613299,-10.012589,0.00980665
33298,-0.19613299,-9.796844,0.00980665
33319,-0.19613299,-9.83607,0.00980665
33340,-0.20593965,-10.012589,0.00980665
33364,-0.22555295,-10.149882,0.0392266
33380,-0.26477954,-10.0910425,0.00980665
33399,-0.2353596,-9.95375,0.0392266
33420,-0.2157463,-9.914523,-0.02941995
33440,-0.19613299,-9.934136,-0.02941995
33461,-0.16671304,-9.973363,0.0
33481,-0.16671304,-9.963556,0.00980665
33500,-0.19613299,-10.022396,0.00980665
33520,-0.16671304,-10.022396,0.00980665
33541,-0.20593965,-10.247949,0.0
33563,-0.26477954,-10.277369,-0.0588399
33581,-0.2941995,-10.100849,-0.02941995
33601,-0.2353596,-9.963556,0.0196133
33621,-0.18632634,-9.92433,0.02941995
33642,-0.18632634,-9.855683,-0.02941995
33664,-0.17651969,-9.68897,-0.0392266
33682,-0.22555295,-9.855683,-0.049033247
33702,-0.2745862,-10.081236,-0.0392266
33721,-0.2353596,-10.159689,-0.049033247
33743,-0.2353596,-10.149882,0.00980665
33764,-0.22555295,-9.98317,0.0196133
33783,-0.2157463,-10.012589,0.0
33803,-0.22555295,-10.022396,-0.0588399
33825,-0.18632634,-9.963556,-0.0196133
33847,-0.2157463,-9.875297,0.0196133
33864,-0.2353596,-9.9047165,0.02941995
33883,-0.22555295,-10.100849,0.0392266
33903,-0.24516624,-10.110656,0.0196133
33923,-0.22555295,-10.002783,-0.098066494
33944,-0.2549729,-9.943943,0.0
33968,-0.19613299,-9.992976,0.049033247
33984,-0.14709975,-10.042009,0.0588399
34004,-0.20593965,-9.95375,0.0196133
34026,-0.2353596,-9.934136,0.0
34048,-0.24516624,-9.963556,0.00980665
34065,-0.24516624,-10.110656,0.0
34084,-0.22555295,-10.0910425,-0.00980665
34104,-0.20593965,-10.0910425,0.049033247
34126,-0.20593965,-9.973363,-0.0196133
34149,-0.2157463,-9.943943,0.0196133
34166,-0.18632634,-10.120462,-0.06864655
34185,-0.20593965,-10.032203,-0.0196133
34205,-0.19613299,-9.934136,0.02941995
34226,-0.20593965,-9.973363,-0.0392266
34248,-0.2353596,-10.051816,0.02941995
34266,-0.2353596,-9.973363,-0.0392266
34286,-0.2549729,-9.992976,0.0392266
34307,-0.19613299,-10.032203,-0.0784532
34327,-0.20593965,-10.042009,-0.06864655
34350,-0.2157463,-10.071429,0.00980665
34367,-0.22555295,-9.80665,-0.0392266
34386,-0.20593965,-9.826263,-0.0196133
34407,-0.20593965,-9.95375,-0.00980665
34427,-0.26477954,-9.875297,-0.0392266
34450,-0.2745862,-9.973363,0.0196133
34468,-0.22555295,-9.973363,0.0392266
34487,-0.20593965,-9.9047165,-0.00980665
34508,-0.19613299,-9.973363,0.0392266
34528,-0.2353596,-10.051816,-0.0588399
